,file,size(byte),size(B),size(MB),size(GB),atime,mtime,ctime
109,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\40\2a4803dc570011fca6f1786fe30c8c15a49e9e,189,23.6,2.95,0.369,2022-08-30 01:32:31,2022-07-31 09:50:39,2022-07-31 09:50:39
110,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\40\8e084599d13b5bc3d63992057bbf5ac2bb8bd0,182,22.8,2.84,0.355,2022-08-20 19:05:33,2022-08-16 03:37:11,2022-08-16 03:37:11
111,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\42\d53fd021582776727191be34f68d097a2b09ef,149,18.6,2.33,0.291,2022-08-28 13:43:28,2022-08-28 11:57:53,2022-08-28 11:57:53
112,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\42\f202b6cac52c8df3bce70dc1b5119a84d975c3,256,32.0,4.0,0.5,2022-08-30 00:31:10,2022-08-28 15:55:44,2022-08-28 15:55:44
113,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\43\17661d23870d871589bb289176f7288f6a75ef,255,31.9,3.98,0.498,2022-08-28 11:57:55,2022-08-27 01:14:19,2022-08-27 01:14:19
114,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\43\9c3b2d4686c9db31b13f132bd34fef44466d23,192,24.0,3.0,0.375,2022-08-30 01:32:31,2022-07-30 17:22:44,2022-07-30 17:22:44
115,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\44\5203be47405d6d3cf72c7afe53d16900cca435,241,30.1,3.77,0.471,2022-08-21 09:40:05,2022-08-19 20:04:18,2022-08-19 20:04:18
116,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\46\0d54269ad749d9034718c0161f78a3e8a88c33,150,18.8,2.34,0.293,2022-08-20 19:05:33,2022-07-31 09:51:01,2022-07-31 09:51:01
117,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\46\25ab6d4b8c7664b20a1c2d145ed88a6518e013,6858,857.2,107.16,13.395,2022-08-20 19:05:33,2022-08-14 11:25:39,2022-08-14 11:25:39
118,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\46\80668a34bf076c8daf49fbf9ece53d388e8207,1754,219.2,27.41,3.426,2022-08-20 19:05:33,2022-08-02 18:16:01,2022-08-02 18:16:01
119,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\48\58aca01879073c5b45c0526e4e65c7052ac605,149,18.6,2.33,0.291,2022-08-20 19:05:33,2022-08-20 00:20:09,2022-08-20 00:20:09
120,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\48\942a1b258cfe32fb6227141c26355b92147884,294,36.8,4.59,0.574,2022-08-20 19:05:33,2022-08-20 02:15:49,2022-08-20 02:15:49
121,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\48\9620e6466b1f8a42c8bf0c7bb6a9be9cc1626a,2284,285.5,35.69,4.461,2022-08-20 19:05:33,2022-07-31 00:18:28,2022-07-31 00:18:28
122,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\48\b390bc48d0643bc1370a18ccac46e5ce898031,114,14.2,1.78,0.223,2022-08-20 19:05:33,2022-08-05 21:22:56,2022-08-05 21:22:56
123,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\49\81ecdba078a775e4ff3be1677cd933188217b2,715,89.4,11.17,1.396,2022-08-20 19:05:33,2022-07-24 15:39:20,2022-07-24 15:39:20
124,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\49\99d3db641e6af1e8a619fbfd625f60aeae3bab,149,18.6,2.33,0.291,2022-08-20 19:05:33,2022-08-19 20:04:18,2022-08-19 20:04:18
125,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\49\d3275cc11589715f9e018b9a0f611dab7d1b17,182,22.8,2.84,0.355,2022-08-30 01:32:31,2022-08-05 20:47:45,2022-08-05 20:47:45
126,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\4a\92869e98fba85868afc4520d47772e620fa905,149,18.6,2.33,0.291,2022-08-20 19:05:33,2022-08-13 18:04:08,2022-08-13 18:04:08
127,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\4a\93efeb34e5dfed582f4070a43034a67aa511dd,149,18.6,2.33,0.291,2022-08-20 19:05:33,2022-08-14 11:59:41,2022-08-14 11:59:41
128,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\4a\a29e544e4e0e9c90cea9b74f7448f09236392b,150,18.8,2.34,0.293,2022-08-20 19:05:33,2022-08-14 11:25:39,2022-08-14 11:25:39
129,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\4c\43f9e2699ab98c994b979d01e9f9c7eb1e5409,1983,247.9,30.98,3.873,2022-08-20 19:05:33,2022-07-30 17:26:29,2022-07-30 17:26:29
130,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\4d\63723af8d2ec52548c3be702eff1be9ba2822f,174,21.8,2.72,0.34,2022-08-30 01:32:31,2022-08-14 12:36:03,2022-08-14 12:36:03
131,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\4e\05bbce144a194d51fadb9009d2308504221111,149,18.6,2.33,0.291,2022-08-20 19:05:33,2022-07-30 18:39:59,2022-07-30 18:39:59
132,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\4f\620dbb480bb2dd6f9890ecb44594c01c95aef8,6855,856.9,107.11,13.389,2022-08-20 19:05:33,2022-08-14 14:16:14,2022-08-14 14:16:14
133,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\4f\ba9ab40ce6ce9d673f606582d0083dab9df842,256,32.0,4.0,0.5,2022-08-28 13:43:28,2022-08-28 11:57:53,2022-08-28 11:57:53
134,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\4f\eb2ad0f296a129409eea6ff89db8123dba2788,958,119.8,14.97,1.871,2022-08-20 19:05:33,2022-07-31 19:19:15,2022-07-31 19:19:15
135,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\4f\f21adb7ec8113e55241b5429d600b9f3ae9645,1865,233.1,29.14,3.643,2022-08-20 19:05:33,2022-08-05 21:22:56,2022-08-05 21:22:56
136,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\50\c1e73de996eaf88c50e15184902f6edaafdc96,24,3.0,0.38,0.047,2022-08-20 19:05:33,2022-08-15 17:05:49,2022-08-15 17:05:49
137,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\50\d07da52f93ea24e4733f033e88ae0515436042,1838,229.8,28.72,3.59,2022-08-20 19:05:33,2022-08-14 14:16:14,2022-08-14 14:16:14
138,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\51\737833bae688c25d6ba5dfb6e2258e44728250,2246,280.8,35.09,4.387,2022-08-20 19:05:33,2022-08-15 17:05:48,2022-08-15 17:05:48
139,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\51\dbc230369a6990a19ddc3a3c0dffd740934741,179,22.4,2.8,0.35,2022-08-30 01:32:31,2022-08-14 21:44:19,2022-08-14 21:44:19
140,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\51\de3bdd0450e424583b60f736bfaf60ddfbd38c,2288,286.0,35.75,4.469,2022-08-20 19:05:33,2022-07-31 19:19:15,2022-07-31 01:16:49
141,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\51\fd7c6439be65206d7b3cd3404d2a17582e27b8,189,23.6,2.95,0.369,2022-08-30 01:32:31,2022-08-02 19:13:04,2022-08-02 19:13:04
142,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\52\439b2744bccbdbf2aa39b6fc70a9a104a0f224,115,14.4,1.8,0.225,2022-08-20 19:05:33,2022-08-06 00:51:51,2022-08-06 00:51:51
143,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\54\43b4de9a0b626556712b0def6d734211708b50,149,18.6,2.33,0.291,2022-08-28 09:39:19,2022-08-26 23:45:31,2022-08-26 23:45:31
144,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\54\a2f9250a6dc4446e7149f9f4f4272f02f18128,181,22.6,2.83,0.354,2022-08-30 01:32:31,2022-08-05 21:22:56,2022-08-05 21:22:56
145,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\55\6a23baf5aca3a15851a1cf353ef14271e61422,2130,266.2,33.28,4.16,2022-08-20 19:05:33,2022-08-15 09:19:54,2022-08-15 09:19:54
146,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\56\7cbe5128b2ba815b9f45a6ecefc6c7eb5498a1,2146,268.2,33.53,4.191,2022-08-20 19:05:33,2022-08-14 12:36:02,2022-08-14 12:36:02
147,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\57\bd763602456c8520953875e6293d916a1371ab,231,28.9,3.61,0.451,2022-08-30 01:32:31,2022-07-31 22:14:43,2022-07-31 22:14:43
148,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\58\0a48d0f18a8127e2e5aa9503d0c06dcbe94cd5,148,18.5,2.31,0.289,2022-08-20 19:05:33,2022-08-02 19:05:10,2022-08-02 19:05:10
149,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\58\2ecb3896f9b6a73af5de6fc00fc6616c070af4,149,18.6,2.33,0.291,2022-08-20 19:05:33,2022-08-03 14:11:57,2022-08-03 14:11:57
150,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\58\943e355583dcf415e4908c7e47f41af9be82c8,264,33.0,4.12,0.516,2022-08-20 19:05:33,2022-07-25 17:44:07,2022-07-25 01:03:40
151,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\58\a1aa0431abefea371abd9e6561c35c87903c48,188,23.5,2.94,0.367,2022-08-30 01:32:31,2022-08-26 23:45:31,2022-08-26 23:45:31
152,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\59\7ebfbfd690e3a544849130b8e9be7d30e89962,188,23.5,2.94,0.367,2022-08-30 01:32:31,2022-07-31 22:57:05,2022-07-31 22:57:05
153,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\5c\b45cc9a9515c3ccad5c9f56e6e6beac2c179d5,3140,392.5,49.06,6.133,2022-08-20 19:05:33,2022-08-19 18:50:32,2022-08-19 18:50:32
154,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\5d\757a921818c9fd0215067ec598247d43ed607f,115,14.4,1.8,0.225,2022-08-20 19:05:33,2022-08-15 13:42:08,2022-08-15 13:42:08
155,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\5d\8f99f014d82ae231b4712ffd77f6cfdfb21e11,1643,205.4,25.67,3.209,2022-08-20 19:05:33,2022-08-14 11:58:28,2022-08-14 11:58:28
156,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\5e\9ac197154b763b711b9137c5906c4523c6f140,2159,269.9,33.73,4.217,2022-08-20 19:05:33,2022-08-14 16:50:16,2022-08-14 16:50:16
157,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\5e\df3c02a7e0338beb8ab9876ce7bddfb8861b84,169,21.1,2.64,0.33,2022-08-30 01:32:31,2022-08-13 18:04:08,2022-08-13 18:04:08
158,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\5f\292cae87cad62ef43df4ce7f6741420ae95bf1,1867,233.4,29.17,3.646,2022-08-20 19:05:33,2022-08-03 14:11:57,2022-08-03 14:11:57
159,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\60\6c481c4110b08deb7caa513b9d359481e34eb9,3242,405.2,50.66,6.332,2022-08-20 19:05:33,2022-07-31 20:13:37,2022-07-31 20:13:37
160,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\60\bff8707b1e94c934ed495d5277fbaa03a26496,3257,407.1,50.89,6.361,2022-08-20 19:05:33,2022-08-02 14:50:48,2022-08-02 14:50:48
161,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\61\4c535c38306492c45953cf895b32976dd7942a,149,18.6,2.33,0.291,2022-08-20 19:05:33,2022-08-19 18:50:33,2022-08-19 18:50:33
162,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\61\69d1211edf7a9aaa5d387cbeafb22f93c57d92,148,18.5,2.31,0.289,2022-08-20 19:05:33,2022-08-15 17:05:49,2022-08-15 17:05:49
163,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\61\e80d30fad1311a4c26fd6260dc05a55644a362,150,18.8,2.34,0.293,2022-08-20 19:05:33,2022-07-25 01:03:40,2022-07-25 01:03:40
164,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\62\90eea5ae89bf3cb8c4fc36fefc95a79abc8bda,255,31.9,3.98,0.498,2022-08-28 16:32:59,2022-08-28 13:43:25,2022-08-28 13:43:25
165,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\62\aa03b2c227cd64992d9987bf7e482fb2e4de70,3081,385.1,48.14,6.018,2022-08-20 19:05:33,2022-08-16 03:37:10,2022-08-16 03:37:10
166,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\64\501518bdc18fa69c79e635884904409a0dfbde,182,22.8,2.84,0.355,2022-08-30 01:32:31,2022-08-05 21:07:56,2022-08-05 21:07:56
167,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\64\b74b249e38ae639eb90320752bcf559b5dedd7,178,22.2,2.78,0.348,2022-08-30 01:32:31,2022-08-16 03:37:11,2022-08-16 03:37:11
168,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\64\e27abccd4d70895928c1bdca370e626aa06f03,1459,182.4,22.8,2.85,2022-08-20 19:05:33,2022-08-20 00:20:09,2022-08-20 00:20:09
169,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\65\8571980898d55b60936e845c0decf6bbacb5d4,1721,215.1,26.89,3.361,2022-08-20 19:05:34,2022-08-02 14:50:47,2022-08-02 14:50:47
170,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\65\c469b921614e61a03020ffbffee1395259cb90,254,31.8,3.97,0.496,2022-08-30 01:32:31,2022-08-06 00:51:52,2022-08-06 00:51:52
171,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\66\00334ade214274c2a2f1257415e78e1e848f75,189,23.6,2.95,0.369,2022-08-30 01:32:31,2022-07-01 13:16:02,2022-07-01 13:16:02
172,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\66\5dcb0d91cc9dcc4e6b08d57845efb601f29082,114,14.2,1.78,0.223,2022-08-20 19:05:34,2022-08-14 11:25:39,2022-08-14 11:25:39
173,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\69\fa5483ebbe099df154fb339ed659cda81a1617,2152,269.0,33.62,4.203,2022-08-20 19:05:34,2022-08-14 21:44:18,2022-08-14 21:44:18
174,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\6a\256250a2ba188b09f99fac25986c7f9ccc2e1b,255,31.9,3.98,0.498,2022-08-20 19:05:34,2022-08-20 00:20:09,2022-08-20 00:20:09
175,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\6a\7d70abfeefa37aeff718fe846617d3f1fde1ee,148,18.5,2.31,0.289,2022-08-28 11:57:55,2022-08-27 01:14:19,2022-08-27 01:14:19
176,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\6a\a8e1d2d95f94ba315cb3c80c72ab671d700ad5,1830,228.8,28.59,3.574,2022-08-20 19:05:34,2022-08-02 19:13:04,2022-08-02 19:13:04
177,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\6a\cc23d111c66fd1eedfbe931d6e3b6bfc624810,861,107.6,13.45,1.682,2022-08-20 19:05:34,2022-07-31 22:14:43,2022-07-31 22:14:43
178,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\6c\35adfcd801947105cb17fc309594f2bef50589,149,18.6,2.33,0.291,2022-08-20 19:05:34,2022-08-05 20:47:45,2022-08-05 20:47:45
179,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\6d\8cf8824ac56ae509491bba648cd99777668e00,6644,830.5,103.81,12.977,2022-08-20 19:05:34,2022-08-13 18:04:08,2022-08-13 18:04:08
180,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\6d\dae962688f67dff555659cfad626ccbc79a2de,178,22.2,2.78,0.348,2022-08-30 01:32:31,2022-08-15 17:05:49,2022-08-15 17:05:49
181,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\6e\5c9e95d04d269fb3346da2986d368b95207b94,91,11.4,1.42,0.178,2022-08-20 19:05:34,2022-07-30 18:39:58,2022-07-30 18:39:58
182,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\70\8c367e3ce0005c768e1dc38e97e73799af8cd0,189,23.6,2.95,0.369,2022-08-30 01:32:31,2022-07-31 22:17:34,2022-07-31 22:17:34
183,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\70\e6cf04aeaa7055d8f804739ec55b3f02c26434,299,37.4,4.67,0.584,2022-08-20 19:05:34,2022-07-01 13:16:01,2022-07-01 13:16:01
184,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\71\34a465e29c9df9175f1832243e56d4027ae219,2112,264.0,33.0,4.125,2022-08-20 19:05:34,2022-08-14 16:44:36,2022-08-14 16:44:36
185,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\71\7c1897ef2421c018981dc16a4c8e7803feef55,1620,202.5,25.31,3.164,2022-08-20 19:05:34,2022-08-14 11:25:39,2022-08-14 11:25:39
186,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\72\1ff7e382d7e77dca1118efadc25fc2bab22578,114,14.2,1.78,0.223,2022-08-20 19:05:34,2022-08-03 14:11:57,2022-08-03 14:11:57
187,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\72\82634a298b26533cbbc95192dccff3a12c99f4,2303,287.9,35.98,4.498,2022-08-26 18:37:37,2022-08-21 11:50:17,2022-08-21 11:50:17
188,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\73\02ed33caa8916d920ad74cb3ce914a65303305,189,23.6,2.95,0.369,2022-08-30 01:32:31,2022-07-24 15:39:21,2022-07-24 15:39:21
189,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\73\467911ddb65d5ab84273a1b68adc2b2d26ec9e,149,18.6,2.33,0.291,2022-08-20 19:05:34,2022-08-14 14:16:14,2022-08-14 14:16:14
190,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\73\6a3b458623c6fc94e07c6a4938c04d2b909904,2180,272.5,34.06,4.258,2022-08-20 19:05:34,2022-08-14 21:44:18,2022-08-14 21:44:18
191,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\74\4b7bff8cf718cb63d1575bcf68fce14fc4a5b0,6847,855.9,106.98,13.373,2022-08-20 19:05:35,2022-08-14 12:35:15,2022-08-14 12:35:15
192,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\74\b2304bd6b029bd7da939a012c8fb8bda87973d,181,22.6,2.83,0.354,2022-08-30 01:32:31,2022-08-02 14:50:48,2022-08-02 14:50:48
193,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\74\bcfb48cccbe24b92c5e803b6b286471583506f,169,21.1,2.64,0.33,2022-08-30 01:32:31,2022-08-20 18:23:08,2022-08-20 18:23:08
194,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\74\f22be40da5e29199a5c7ba53978bb1d2d402cd,149,18.6,2.33,0.291,2022-08-20 19:05:35,2022-08-14 12:36:56,2022-08-14 12:36:56
195,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\75\ab69d20be6ed08344029f821375362dc77a0fd,149,18.6,2.33,0.291,2022-08-20 19:05:35,2022-08-19 20:16:03,2022-08-19 20:16:03
196,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\76\7c6fda33c8c0c2c6f0b4dccaa01998936e881c,171,21.4,2.67,0.334,2022-08-20 19:05:35,2022-08-06 00:51:51,2022-08-06 00:51:51
197,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\77\7542bf9013de672293825be6cfe993ff03fb26,115,14.4,1.8,0.225,2022-08-20 19:05:35,2022-08-14 14:16:14,2022-08-14 14:16:14
198,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\78\e7e8a80f68156fe66e156d1cdef6e2eca03785,168,21.0,2.62,0.328,2022-08-30 01:32:31,2022-08-19 18:50:33,2022-08-19 18:50:33
199,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\79\3e884c38d77b7f6dceb91793510448024ef91b,188,23.5,2.94,0.367,2022-08-30 01:32:31,2022-07-24 15:37:00,2022-07-24 15:37:00
200,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\79\e8ae04cc42a1ff0a2a23e26aac2c684bf83931,2000,250.0,31.25,3.906,2022-08-28 09:39:19,2022-08-26 23:45:30,2022-08-26 23:45:30
201,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\7a\02fb94cbd46e361a0043916d32138680e9b459,1797,224.6,28.08,3.51,2022-08-20 19:05:35,2022-08-02 19:07:26,2022-08-02 19:07:26
202,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\7b\658e103b40d3cddeb7ba2f804a944f8bbf8491,188,23.5,2.94,0.367,2022-08-30 01:32:31,2022-08-05 21:33:09,2022-08-05 21:33:09
203,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\7b\7a74332283f25ba4fc606f4364694dae26d5f8,183,22.9,2.86,0.357,2022-08-30 01:32:31,2022-08-02 19:05:10,2022-08-02 19:05:10
204,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\7c\b5acef37ebbc80b3facb45b4017181d8539636,3937,492.1,61.52,7.689,2022-08-30 01:32:31,2022-08-28 16:32:55,2022-08-28 16:32:55
205,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\7d\3d16b34db1b737b5af955516743f55ef775aec,149,18.6,2.33,0.291,2022-08-20 19:05:35,2022-08-05 21:33:09,2022-08-05 21:33:09
206,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\7e\bcce1ee5e0d2c8f24ad29bf9fb842788b2d2eb,167,20.9,2.61,0.326,2022-08-30 01:32:31,2022-08-14 16:50:16,2022-08-14 16:50:16
207,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\80\fa53081cc322af844ef4508240fee6365cddeb,5697,712.1,89.02,11.127,2022-08-28 09:39:19,2022-08-26 23:45:30,2022-08-26 23:45:30
208,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\81\008819f805ef4ea39059fa9edf2d8ce49509d7,4425,553.1,69.14,8.643,2022-08-20 19:05:35,2022-08-05 21:14:32,2022-08-05 21:14:32
209,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\81\43bbca2239e7037f68333005761e2204f2b3bf,738,92.2,11.53,1.441,2022-08-20 19:05:35,2022-07-31 16:29:56,2022-07-31 16:29:56
210,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\81\4a109488fb94772b0d4920b691674a415a3090,2097,262.1,32.77,4.096,2022-08-20 19:05:35,2022-08-14 11:58:27,2022-08-14 11:58:27
211,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\81\ae5eee12969e4afc0c0cb3c95787d127f653fe,149,18.6,2.33,0.291,2022-08-20 19:05:35,2022-07-31 20:16:23,2022-07-31 20:16:23
212,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\82\42be8560b4a20919c1525cf0136596278dde2c,3592,449.0,56.12,7.016,2022-08-20 19:05:35,2022-08-02 19:05:10,2022-08-02 19:05:10
213,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\82\c42b12f1347652937a198027da0ae58aff26bb,202,25.2,3.16,0.395,2022-08-20 19:05:35,2022-08-20 00:20:09,2022-08-20 00:20:09
214,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\82\fb10b78feabec32b9537ba2501135eddc9bdac,149,18.6,2.33,0.291,2022-08-20 19:05:35,2022-08-20 02:15:49,2022-08-20 02:15:49
