,file,size(byte),size(B),size(MB),size(GB),atime,mtime,ctime
44,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\16\b3c138c89f3602a71742827034f9416431764c,148,18.5,2.31,0.289,2022-08-20 19:05:32,2022-08-02 18:16:01,2022-08-02 18:16:01
45,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\16\ded7d9cd7ac52409c1bba6dacc09e135573f62,295,36.9,4.61,0.576,2022-08-20 19:05:32,2022-08-20 02:15:49,2022-08-20 02:15:49
46,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\17\d60e8c2d86075109acae080d99572ac4cec5a4,1537,192.1,24.02,3.002,2022-08-20 19:05:32,2022-08-13 18:04:08,2022-08-13 18:04:08
47,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\18\9fbe7a4d9c61425c142eb0e77e8e56edb5abc5,1223,152.9,19.11,2.389,2022-08-20 19:05:32,2022-07-29 21:27:50,2022-07-29 21:27:50
48,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\18\dc8ff30fb5076cdb80f39e9064ddaec43a1a08,3515,439.4,54.92,6.865,2022-08-28 16:32:59,2022-08-28 13:43:25,2022-08-28 13:43:25
49,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\1a\bf84fce1b93c44ed104937cb1556964b3985ea,134,16.8,2.09,0.262,2022-08-20 19:05:32,2022-07-31 22:14:43,2022-07-31 22:14:43
50,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\1b\668090e6763e00327b98df2346483e5c30b1c9,149,18.6,2.33,0.291,2022-08-20 19:05:32,2022-08-14 12:36:03,2022-08-14 12:36:03
51,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\1b\97a894e3ce0e334a27a6409bf51bf69ecd787c,1850,231.2,28.91,3.613,2022-08-20 19:05:32,2022-08-05 21:14:32,2022-08-05 21:14:32
52,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\1c\018f8df93c883605b92c3c5b92d7671b1f09e5,1860,232.5,29.06,3.633,2022-08-20 19:05:32,2022-08-13 18:04:08,2022-08-13 18:04:08
53,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\1c\f53f1d934f0fe69d85146f0d49a61636779a26,1858,232.2,29.03,3.629,2022-08-20 19:05:32,2022-08-05 19:03:49,2022-08-05 19:03:49
54,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\1d\12296e7d5245972b23317a410cb9b3dd10fa40,4473,559.1,69.89,8.736,2022-08-20 19:05:32,2022-08-05 21:33:08,2022-08-05 21:33:08
55,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\1d\ac820ec01a0afaed7da3cc2797bc171a1beaa3,1863,232.9,29.11,3.639,2022-08-20 19:05:32,2022-08-12 21:13:22,2022-08-12 21:13:22
56,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\1e\7212a88c6320dfcf48b2c01584ba395e237040,179,22.4,2.8,0.35,2022-08-30 01:32:31,2022-07-30 18:39:59,2022-07-30 18:39:59
57,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\1e\e846cc556096c546c95bbcec8c58739fbd4399,173,21.6,2.7,0.338,2022-08-30 01:32:31,2022-08-14 11:25:39,2022-08-14 11:25:39
58,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\1f\653d1622b29dbaf6e91207db8ee9791007f7f7,1991,248.9,31.11,3.889,2022-08-20 19:05:32,2022-07-30 18:39:58,2022-07-30 18:39:58
59,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\1f\6cb9f3c4898d5bf1c8ae3de22f016870707cce,149,18.6,2.33,0.291,2022-08-20 19:05:32,2022-08-14 16:44:36,2022-08-14 16:44:36
60,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\1f\6f7d1533b9c90ee6f4d27f4711ffc8dcd9547f,114,14.2,1.78,0.223,2022-08-20 19:05:32,2022-08-14 11:58:28,2022-08-14 11:58:28
61,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\1f\b9fc8826b72dc0ad3069486cbb180491708059,5704,713.0,89.12,11.141,2022-08-26 23:45:33,2022-08-21 16:41:24,2022-08-21 16:41:24
62,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\1f\f5c879292fa886c434a693aa39bae367b5dec4,172,21.5,2.69,0.336,2022-08-30 01:32:31,2022-08-16 03:56:58,2022-08-16 03:56:58
63,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\20\500114fcdcda26b3065ac5a69a2eecd0bb195c,2149,268.6,33.58,4.197,2022-08-20 19:05:32,2022-08-14 12:36:55,2022-08-14 12:36:55
64,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\21\0ee2648aee58de284259fd22b4649afe30685f,201,25.1,3.14,0.393,2022-08-26 23:45:33,2022-08-21 16:41:24,2022-08-21 16:41:24
65,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\22\b69d5b6a5aab957603cae0cd0277c3c5bb9eac,149,18.6,2.33,0.291,2022-08-20 19:05:32,2022-08-05 21:22:56,2022-08-05 21:22:56
66,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\23\24834c320553395bce00643d7bf6c79a43cf1c,114,14.2,1.78,0.223,2022-08-20 19:05:32,2022-08-02 19:05:10,2022-08-02 19:05:10
67,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\23\3db520face511feb514d73ec2f0b938824c7ad,149,18.6,2.33,0.291,2022-08-20 19:05:32,2022-08-19 18:50:33,2022-08-19 18:50:33
68,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\24\7fdd7811b8213c02204fa508922cf3a162a1f2,149,18.6,2.33,0.291,2022-08-20 19:05:32,2022-07-30 21:41:52,2022-07-30 21:41:52
69,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\24\fc2b31abacf5a8732f07ec0f3db299e35a48b3,150,18.8,2.34,0.293,2022-08-20 19:05:32,2022-08-06 00:51:51,2022-08-06 00:51:51
70,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\25\392d2f0f677f422e67efbc2d1dfc03d8a1c707,114,14.2,1.78,0.223,2022-08-20 19:05:32,2022-08-05 21:07:56,2022-08-05 21:07:56
71,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\25\82f95d1594c6d77eb20b10037b123c7da3f289,202,25.2,3.16,0.395,2022-08-21 11:50:20,2022-08-20 18:23:08,2022-08-20 18:23:08
72,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\25\d3b0a2b3aa1e43b03c665d7556080ef0421fb1,172,21.5,2.69,0.336,2022-08-30 01:32:31,2022-08-08 16:45:35,2022-08-08 16:45:35
73,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\25\f86edf4872490fba3c538b3d430511ba783256,2245,280.6,35.08,4.385,2022-08-20 19:05:32,2022-08-15 13:42:08,2022-08-15 13:42:08
74,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\27\5152db9256c532eb5ddee21a4913cf500bbe4f,91,11.4,1.42,0.178,2022-08-20 19:05:32,2022-07-30 17:22:44,2022-07-30 17:22:44
75,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\27\7ae89cc89cb50fe0b3e89bf2f2634cf8e0cf02,149,18.6,2.33,0.291,2022-08-20 19:05:32,2022-08-14 12:35:15,2022-08-14 12:35:15
76,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\28\31697b9ab71f06753f89257967a7bb0129f2ae,150,18.8,2.34,0.293,2022-08-20 19:05:32,2022-08-14 16:50:16,2022-08-14 16:50:16
77,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\28\33a39d3588182ef5d2377d90d868fcbb692bd2,198,24.8,3.09,0.387,2022-08-30 01:32:31,2022-08-02 18:16:02,2022-08-02 18:16:02
78,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\2a\17982295f35ae96169c7129d854414237b60d5,91,11.4,1.42,0.178,2022-08-20 19:05:32,2022-07-30 21:41:52,2022-07-30 21:41:52
79,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\2a\2ff400344f5395af419722fd3d9b0f61c1f6ba,168,21.0,2.62,0.328,2022-08-30 01:32:31,2022-08-21 16:41:24,2022-08-21 16:41:24
80,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\2a\f9b541a5402273ac7e66ad9092105efc818049,4638,579.8,72.47,9.059,2022-08-26 18:37:36,2022-08-21 11:50:18,2022-08-21 11:50:18
81,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\2a\fd475da5059061aa202e56c88fe16802b2027a,91,11.4,1.42,0.178,2022-08-20 19:05:32,2022-07-29 21:27:50,2022-07-29 21:27:50
82,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\2b\e727bf80435eff7eb0b8f03990d86146cb3618,114,14.2,1.78,0.223,2022-08-20 19:05:32,2022-07-31 22:14:43,2022-07-31 22:14:43
83,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\2d\c096c50c09f6647bbda7c081e350c1e7c9bc6a,171,21.4,2.67,0.334,2022-08-30 01:32:31,2022-08-14 11:59:41,2022-08-14 11:59:41
84,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\2e\4cfeec47db4aad03cad5f966043acb6869c3a8,3570,446.2,55.78,6.973,2022-08-21 09:34:18,2022-08-20 18:12:12,2022-08-20 18:12:12
