,file,size(byte),size(MB),size(GB),atime,mtime,ctime
29,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\07\e35528e63a42a2a6cc12c374d9e7c83a5651ce,212,0,0,2022-08-20 19:05:32,2022-08-19 20:04:18,2022-08-19 20:04:18
30,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\08\192c6438aa0730bf6f7033d962523cb5805aca,119,0,0,2022-08-20 19:05:32,2022-07-01 02:00:22,2022-07-01 02:00:22
31,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\09\e6603dba04cc003c4bfa874b08e862217a8454,222,0,0,2022-08-20 19:05:32,2022-08-19 18:50:33,2022-08-19 18:50:33
32,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\0a\0cd96d03015db4636b84a3765717f053fad4f8,149,0,0,2022-08-20 19:05:32,2022-08-13 18:11:13,2022-08-13 18:11:13
33,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\0b\95d0ed86246e1858edf86b9a6d998c1a4ea125,149,0,0,2022-08-20 19:05:32,2022-07-31 22:17:34,2022-07-31 22:17:34
34,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\0c\3fcd54777567ae8256d06588bebad2d392e2e3,114,0,0,2022-08-20 19:05:32,2022-08-13 18:04:08,2022-08-13 18:04:08
35,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\0c\a42153523c1ec36f60a01eea53d2baf1b5979e,3907,0,0,2022-08-20 19:05:32,2022-08-05 19:03:49,2022-08-05 19:03:49
36,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\0d\25b04252d024d5f8ccc00537d9018a3dedb080,149,0,0,2022-08-30 01:43:47,2022-08-28 16:32:56,2022-08-28 16:32:56
37,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\0f\d38c56f57313edfa1b129b8540a56ee2b49659,182,0,0,2022-08-20 19:05:32,2022-08-16 03:56:58,2022-08-16 03:56:58
38,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\10\170f587769a3ec0f6eff104a65825ef22fd502,189,0,0,2022-09-04 11:58:54,2022-07-31 09:52:41,2022-07-31 09:52:41
39,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\10\9fe1ef5be2aac5827c335caec363bc0c4815b2,734,0,0,2022-08-20 19:05:32,2022-07-31 09:52:40,2022-07-31 09:52:40
40,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\11\ac4463f6f9959bf4f258301a369f91b1549c5d,5719,0,0,2022-08-28 11:57:55,2022-08-27 01:14:19,2022-08-27 01:14:19
41,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\14\5bb5458ddc6077c6712799de1b45a48ebbfd02,149,0,0,2022-08-20 19:05:32,2022-08-15 17:05:49,2022-08-15 17:05:49
42,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\14\950414b32119bd44b19f56aa951c94e724d69a,189,0,0,2022-09-04 11:58:54,2022-07-29 21:27:50,2022-07-29 21:27:50
